merchant_id,merchant_name,business_type,registration_number,bank_account_iban,settlement_currency,fee_rate_pct,customer_id,is_active,onboarded_at
M001,Zürich Digital Payments AG,ECOMMERCE,CHE-112.345.678,CH9300762011623852957,CHF,2.1,C001,TRUE,2024-01-10
M002,Bern Retail Solutions GmbH,RETAIL,CHE-223.456.789,CH4400769016743963068,CHF,1.8,C002,TRUE,2024-01-15
M003,Genève Marketplace SA,MARKETPLACE,CHE-334.567.890,CH1209000000303130259,CHF,3.2,C005,TRUE,2024-01-20
M004,Basel Online Shop AG,ECOMMERCE,CHE-445.678.901,CH3608387000001080173,CHF,2.4,C007,TRUE,2024-01-25
M005,Luzern Tech Store GmbH,RETAIL,CHE-556.789.012,CH2089144321756896584,CHF,1.9,C006,TRUE,2024-02-01
M006,Winterthur B2B Services AG,B2B,CHE-667.890.123,CH5604835012345678009,CHF,1.5,C011,TRUE,2024-02-05
M007,Lausanne Fashion Sàrl,ECOMMERCE,CHE-778.901.234,CH9300762011623852957,CHF,2.6,C008,TRUE,2024-02-10
M008,St. Gallen Electronics AG,RETAIL,CHE-889.012.345,CH4400769016743963068,CHF,2.0,C019,TRUE,2024-02-15
M009,Lugano Crypto Exchange SA,MARKETPLACE,CHE-990.123.456,CH1209000000303130259,CHF,3.5,C014,TRUE,2024-02-20
M010,Zug FinServices GmbH,B2B,CHE-101.234.567,CH3608387000001080173,CHF,1.6,C020,TRUE,2024-02-25
M011,Thun Outdoor Sports AG,RETAIL,CHE-212.345.678,CH2089144321756896584,CHF,2.2,C026,TRUE,2024-03-01
M012,Aarau Pharma Direct AG,ECOMMERCE,CHE-323.456.789,CH5604835012345678009,CHF,2.3,C013,TRUE,2024-03-05
M013,Fribourg Artisan Market Sàrl,MARKETPLACE,CHE-434.567.890,CH9300762011623852957,CHF,3.0,C012,TRUE,2024-03-10
M014,Schaffhausen Industrial AG,B2B,CHE-545.678.901,CH4400769016743963068,CHF,1.5,C016,TRUE,2024-03-15
M015,Chur Mountain Gear GmbH,RETAIL,CHE-656.789.012,CH1209000000303130259,CHF,2.1,C017,TRUE,2024-03-20
M016,Neuchâtel Watch Store Sàrl,ECOMMERCE,CHE-767.890.123,CH3608387000001080173,CHF,2.8,C018,TRUE,2024-03-25
M017,Biel Precision Parts SA,B2B,CHE-878.901.234,CH2089144321756896584,CHF,1.7,C021,TRUE,2024-04-01
M018,Solothurn Gastro Supplies GmbH,RETAIL,CHE-989.012.345,CH5604835012345678009,CHF,2.0,C010,TRUE,2024-04-05
M019,Davos Luxury Boutique GmbH,ECOMMERCE,CHE-100.234.567,CH9300762011623852957,CHF,3.1,C029,FALSE,2024-04-10
M020,Rapperswil Software Shop AG,ECOMMERCE,CHE-211.345.678,CH4400769016743963068,CHF,2.5,C030,TRUE,2024-04-15
M021,Appenzell Käse Online AG,ECOMMERCE,CHE-322.456.789,CH1209000000303130259,CHF,2.2,C022,TRUE,2024-04-20
M022,Olten Machine Parts GmbH,B2B,CHE-433.567.890,CH3608387000001080173,CHF,1.6,C023,TRUE,2024-04-25
M023,Nyon Beauty Online SA,ECOMMERCE,CHE-544.678.901,CH2089144321756896584,CHF,2.7,C024,TRUE,2024-05-01
M024,Schwyz Baumarkt AG,RETAIL,CHE-655.789.012,CH5604835012345678009,CHF,1.9,C025,FALSE,2024-05-05
M025,Rheinfelden Auto Parts AG,RETAIL,CHE-766.890.123,CH9300762011623852957,CHF,2.0,C004,TRUE,2024-05-10
M026,Frauenfeld Agri Store AG,RETAIL,CHE-877.901.234,CH4400769016743963068,CHF,1.8,C009,TRUE,2024-05-15
M027,Sion Wine Cellars SA,ECOMMERCE,CHE-988.012.345,CH1209000000303130259,CHF,2.9,C015,TRUE,2024-05-20
M028,Bellinzona Deli SA,RETAIL,CHE-109.123.456,CH3608387000001080173,CHF,2.1,C028,TRUE,2024-05-25
M029,Baden Health Store AG,ECOMMERCE,CHE-210.234.567,CH2089144321756896584,CHF,2.3,C013,TRUE,2024-06-01
M030,Interlaken Adventure Shop GmbH,RETAIL,CHE-321.345.678,CH5604835012345678009,CHF,2.4,C003,TRUE,2024-06-05
